,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,41,Yes,Travel_Rarely,Sales,1,College,Life Sciences,1,1,Medium,Female,High,Junior,Sales Executive,Very High,Single,5993,8,Yes,11,Excellent,Low,0,8,0,Bad,6,4,0,5
1,49,No,Travel_Frequently,Research & Development,8,Below College,Life Sciences,1,2,High,Male,Medium,Junior,Research Scientist,Medium,Married,5130,1,No,23,Outstanding,Very High,1,10,3,Better,10,7,1,7
2,37,Yes,Travel_Rarely,Research & Development,2,College,Other,1,4,Very High,Male,Medium,Entry Level,Laboratory Technician,High,Single,2090,6,Yes,15,Excellent,Medium,0,7,3,Better,0,0,0,0
3,33,No,Travel_Frequently,Research & Development,3,Masters,Life Sciences,1,5,Very High,Female,High,Entry Level,Research Scientist,High,Married,2909,1,Yes,11,Excellent,High,0,8,3,Better,8,7,3,0
4,27,No,Travel_Rarely,Research & Development,2,Below College,Medical,1,7,Low,Male,High,Entry Level,Laboratory Technician,Medium,Married,3468,9,No,12,Excellent,Very High,1,6,3,Better,2,2,2,2
5,32,No,Travel_Frequently,Research & Development,2,College,Life Sciences,1,8,Very High,Male,High,Entry Level,Laboratory Technician,Very High,Single,3068,0,No,13,Excellent,High,0,8,2,Good,7,7,3,6
6,59,No,Travel_Rarely,Research & Development,3,Bachelors,Medical,1,10,High,Female,Very High,Entry Level,Laboratory Technician,Low,Married,2670,4,Yes,20,Outstanding,Low,3,12,3,Good,1,0,0,0
7,30,No,Travel_Rarely,Research & Development,24,Below College,Life Sciences,1,11,Very High,Male,High,Entry Level,Laboratory Technician,High,Divorced,2693,1,No,22,Outstanding,Medium,1,1,2,Better,1,0,0,0
8,38,No,Travel_Frequently,Research & Development,23,Bachelors,Life Sciences,1,12,Very High,Male,Medium,Senior,Manufacturing Director,High,Single,9526,0,No,21,Outstanding,Medium,0,10,2,Better,9,7,1,8
9,36,No,Travel_Rarely,Research & Development,27,Bachelors,Medical,1,13,High,Male,High,Junior,Healthcare Representative,High,Married,5237,6,No,13,Excellent,Medium,2,17,3,Good,7,7,7,7
10,35,No,Travel_Rarely,Research & Development,16,Bachelors,Medical,1,14,Low,Male,Very High,Entry Level,Laboratory Technician,Medium,Married,2426,0,No,13,Excellent,High,1,6,5,Better,5,4,0,3
11,29,No,Travel_Rarely,Research & Development,15,College,Life Sciences,1,15,Very High,Female,Medium,Junior,Laboratory Technician,High,Single,4193,0,Yes,12,Excellent,Very High,0,10,3,Better,9,5,0,8
12,31,No,Travel_Rarely,Research & Development,26,Below College,Life Sciences,1,16,Low,Male,High,Entry Level,Research Scientist,High,Divorced,2911,1,No,17,Excellent,Very High,1,5,1,Good,5,2,4,3
